country,customer_ID,invoice_number,invoice_date,due_date,invoice_amount_usd,disputed,dispute_lost,settled_date,days_to_settle,days_late
France,9771-QTLGZ,1920990033,20/01/2020,19/02/2020,5651,1,0,15/02/2020,26,0
China,2125-HJDLA,189882917,03/09/2020,03/10/2020,5144,0,0,17/10/2020,44,14
United States,5592-UQXSS,190687025,15/07/2021,14/08/2021,2843,0,0,02/08/2021,18,0
France,5573-KSOIA,9247964767,26/01/2020,25/02/2020,9851,1,1,15/03/2020,49,19
Spain,6177-VTITE,195359114,29/08/2020,28/09/2020,5626,1,1,21/09/2020,23,0
China,5529-TBPGK,202519703,10/02/2021,12/03/2021,7726,0,0,13/03/2021,31,1
France,4640-FGEJI,203036054,23/09/2020,23/10/2020,6460,0,0,15/10/2020,22,0
France,5284-DJOZO,204757285,13/01/2020,12/02/2020,5444,0,0,27/01/2020,14,0
Spain,0688-XNJRO,206372278,14/08/2021,13/09/2021,4904,0,0,21/09/2021,38,8
France,3448-OWJOT,5267406931,30/01/2020,29/02/2020,8522,1,0,11/03/2020,41,11
China,8820-BLYDZ,213324193,13/10/2020,12/11/2020,6612,0,0,22/10/2020,9,0
China,9174-IYKOC,217272343,22/09/2021,22/10/2021,4988,1,0,23/10/2021,31,1
China,3569-VJWXS,218034886,01/02/2021,03/03/2021,3864,0,0,05/03/2021,32,2
United States,7050-KQLDO,222477564,08/03/2020,07/04/2020,6570,1,0,09/04/2020,32,2
Russia,5924-UOPGH,232048622,14/03/2020,13/04/2020,6760,0,0,11/04/2020,28,0
China,9174-IYKOC,237437528,09/12/2020,08/01/2021,3569,1,0,15/01/2021,37,7
China,1080-NDGAE,246081324,06/09/2020,06/10/2020,9253,1,0,13/10/2020,37,7
Spain,9286-VLKMI,254550541,28/12/2020,27/01/2021,6159,0,0,08/01/2021,11,0
France,4640-FGEJI,261246477,20/10/2021,19/11/2021,9447,0,0,05/11/2021,16,0
China,9174-IYKOC,263678657,10/09/2020,10/10/2020,3800,0,0,11/10/2020,31,1
China,8156-PCYBM,270702396,31/10/2020,30/11/2020,5024,0,0,25/11/2020,25,0
Russia,5924-UOPGH,273425635,07/02/2020,08/03/2020,11376,1,0,19/03/2020,41,11
France,4092-ZAVRG,274057720,07/05/2020,06/06/2020,5096,0,0,13/05/2020,6,0
United States,9928-IJYBQ,277331044,02/11/2020,02/12/2020,7325,0,0,26/11/2020,24,0
United States,3993-QUNVJ,280670965,03/01/2020,02/02/2020,5039,0,0,23/01/2020,20,0
China,0379-NEVHP,281287578,28/10/2020,27/11/2020,7681,0,0,19/11/2020,22,0
Spain,6177-VTITE,282342168,06/02/2020,07/03/2020,6328,0,0,20/02/2020,14,0
France,9725-EZTEJ,6864971541,02/02/2020,03/03/2020,7382,1,0,28/02/2020,26,0
Spain,1408-OQZUE,285510254,05/04/2020,05/05/2020,2705,0,0,28/05/2020,53,23
Spain,8690-EEBEO,286008070,26/02/2021,28/03/2021,5345,0,0,31/03/2021,33,3
France,8389-TCXFQ,287254498,22/01/2020,21/02/2020,7249,0,0,21/02/2020,30,0
France,4640-FGEJI,6546750144,06/02/2020,07/03/2020,5460,1,0,17/03/2020,40,10
France,6048-QPZCF,882058462,08/02/2020,09/03/2020,8644,1,0,01/03/2020,22,0
United States,7758-WKLVM,298536056,12/03/2021,11/04/2021,7085,1,0,06/05/2021,55,25
Spain,6177-VTITE,299012002,29/11/2021,29/12/2021,4197,0,0,13/12/2021,14,0
United States,7856-ODQFO,300108731,30/11/2021,30/12/2021,4971,1,0,06/01/2022,37,7
China,5196-TWQXF,302496633,04/07/2020,03/08/2020,7265,0,0,26/07/2020,22,0
France,6048-QPZCF,308536412,25/11/2020,25/12/2020,7373,0,0,01/12/2020,6,0
France,7600-OISKG,700683520,11/02/2020,12/03/2020,6567,1,0,12/03/2020,30,0
France,5284-DJOZO,320318018,23/03/2021,22/04/2021,8071,0,0,24/03/2021,1,0
France,4632-QZOKX,7043574740,14/02/2020,15/03/2020,8342,1,0,20/03/2020,35,5
Russia,3568-JJMFW,326671411,27/12/2020,26/01/2021,8850,1,0,18/01/2021,22,0
China,7841-HROAQ,329307404,02/08/2020,01/09/2020,6853,1,0,09/09/2020,38,8
Russia,5613-UHVMG,333420180,10/11/2021,10/12/2021,6060,1,0,12/12/2021,32,2
Russia,3271-HYHDN,354407690,12/04/2021,12/05/2021,4556,0,0,17/04/2021,5,0
United States,2447-JCFGW,355095997,12/12/2020,11/01/2021,3138,0,0,05/01/2021,24,0
China,3598-DNURW,360452276,30/01/2020,29/02/2020,5637,0,0,20/02/2020,21,0
Russia,3271-HYHDN,367399005,10/08/2021,09/09/2021,5878,0,0,10/08/2021,0,0
France,4632-QZOKX,1294595544,18/02/2020,19/03/2020,7218,1,1,04/04/2020,46,16
United States,7050-KQLDO,371943035,24/10/2021,23/11/2021,7669,0,0,15/11/2021,22,0
China,5196-TWQXF,374328279,08/07/2021,07/08/2021,6000,0,0,02/08/2021,25,0
United States,7856-ODQFO,374625254,03/04/2021,03/05/2021,3782,0,0,25/04/2021,22,0
Spain,9250-VHLWY,374628242,09/05/2021,08/06/2021,2993,0,0,28/05/2021,19,0
China,2125-HJDLA,380292674,02/03/2021,01/04/2021,2683,0,0,10/04/2021,39,9
Spain,8942-ERSWK,381841466,12/11/2021,12/12/2021,3295,0,0,15/11/2021,3,0
China,2820-XGXSB,385813290,07/05/2020,06/06/2020,7390,0,0,08/05/2020,1,0
United States,6077-FDQRK,387380707,20/08/2020,19/09/2020,6295,0,0,15/09/2020,26,0
Russia,3568-JJMFW,391669562,08/08/2020,07/09/2020,7198,1,0,04/09/2020,27,0
France,7245-CKNCN,401983784,17/08/2021,16/09/2021,5160,0,0,04/09/2021,18,0
Spain,8942-ERSWK,420999665,21/04/2021,21/05/2021,3412,1,0,10/05/2021,19,0
China,3598-DNURW,423629217,09/08/2020,08/09/2020,5734,0,0,03/09/2020,25,0
France,5284-DJOZO,428154463,03/05/2020,02/06/2020,3951,0,0,21/05/2020,18,0
China,6708-DPYTF,428957919,13/02/2020,14/03/2020,8674,0,0,30/03/2020,46,16
France,4651-PMEXQ,449356610,04/01/2021,03/02/2021,7746,0,0,24/01/2021,20,0
China,5529-TBPGK,451448142,20/11/2020,20/12/2020,5581,0,0,15/12/2020,25,0
France,7245-CKNCN,472551457,20/07/2021,19/08/2021,6628,0,0,04/08/2021,15,0
China,0379-NEVHP,476918544,14/02/2021,16/03/2021,5521,0,0,03/03/2021,17,0
China,9014-WENVB,479534953,13/04/2021,13/05/2021,6583,0,0,02/06/2021,50,20
United States,4460-ZXNDN,485064626,06/10/2020,05/11/2020,8031,0,0,13/11/2020,38,8
United States,7856-ODQFO,488925270,18/05/2021,17/06/2021,4054,0,0,07/06/2021,20,0
United States,0706-NRGUP,489697015,16/04/2020,16/05/2020,4144,0,0,22/05/2020,36,6
United States,6831-FIODB,490252754,08/05/2021,07/06/2021,3629,0,0,14/06/2021,37,7
United States,2687-XWAMA,493580936,17/06/2020,17/07/2020,6022,1,0,24/07/2020,37,7
China,9212-BTDMX,496849530,02/06/2021,02/07/2021,5971,0,0,16/06/2021,14,0
Spain,6296-UKEUZ,497305913,07/11/2020,07/12/2020,5474,1,0,29/11/2020,22,0
France,3448-OWJOT,5902046936,19/02/2020,20/03/2020,7494,1,1,28/03/2020,38,8
Spain,1408-OQZUE,500975230,18/04/2021,18/05/2021,3781,0,0,23/05/2021,35,5
Spain,6177-VTITE,511851896,26/12/2020,25/01/2021,827,0,0,06/01/2021,11,0
China,8156-PCYBM,512194602,28/03/2020,27/04/2020,6440,0,0,28/04/2020,31,1
United States,0465-DTULQ,514496777,14/09/2020,14/10/2020,3286,0,0,17/10/2020,33,3
United States,7228-LEPPM,519700354,09/03/2020,08/04/2020,3217,0,0,18/04/2020,40,10
Spain,9883-SDWFS,523612895,17/04/2020,17/05/2020,2877,0,0,24/05/2020,37,7
China,6632-CGYHU,524611481,05/10/2020,04/11/2020,5786,0,0,23/10/2020,18,0
France,5573-KSOIA,524798729,19/10/2021,18/11/2021,5778,0,0,16/11/2021,28,0
France,5164-VMYWJ,528993923,22/02/2021,24/03/2021,9022,0,0,14/03/2021,20,0
China,6160-HCSFI,533597326,20/08/2020,19/09/2020,6549,0,0,12/09/2020,23,0
China,5529-TBPGK,535335924,10/07/2020,09/08/2020,5788,0,0,21/08/2020,42,12
China,2676-DZINU,535641538,26/04/2020,26/05/2020,6501,0,0,18/05/2020,22,0
France,2621-XCLEH,537837854,21/02/2020,22/03/2020,7951,0,0,07/04/2020,46,16
France,8389-TCXFQ,540061441,30/01/2021,01/03/2021,8550,0,0,13/02/2021,14,0
Spain,6177-VTITE,540659475,05/02/2021,07/03/2021,3933,1,0,06/03/2021,29,0
United States,7050-KQLDO,552732928,16/06/2021,16/07/2021,6226,0,0,03/07/2021,17,0
France,5284-DJOZO,6321822878,20/02/2020,21/03/2020,5919,1,0,20/03/2020,29,0
United States,4460-ZXNDN,557941160,01/09/2021,01/10/2021,7377,1,0,16/10/2021,45,15
Russia,8887-NCUZC,561711596,16/04/2021,16/05/2021,3738,1,1,21/05/2021,35,5
Russia,5875-VZQCZ,565497922,30/10/2020,29/11/2020,6080,0,0,24/11/2020,25,0
United States,4460-ZXNDN,572625167,24/05/2021,23/06/2021,10298,0,0,25/06/2021,32,2
France,4640-FGEJI,572998733,19/04/2020,19/05/2020,7002,0,0,21/05/2020,32,2
Spain,0688-XNJRO,578091983,13/12/2020,12/01/2021,3609,0,0,30/01/2021,48,18
Spain,9883-SDWFS,586870094,29/03/2020,28/04/2020,1494,1,1,13/05/2020,45,15
China,5529-TBPGK,588467684,12/03/2021,11/04/2021,4663,0,0,11/04/2021,30,0
China,0709-LZRJV,598324396,07/07/2020,06/08/2020,1092,0,0,16/08/2020,40,10
Russia,8887-NCUZC,601440262,30/05/2020,29/06/2020,4276,1,0,09/07/2020,40,10
China,9841-XLGBV,601606458,25/10/2020,24/11/2020,5097,0,0,16/11/2020,22,0
China,9212-BTDMX,604769805,21/02/2021,23/03/2021,7359,0,0,01/03/2021,8,0
United States,9928-IJYBQ,606876865,09/03/2021,08/04/2021,4661,0,0,16/04/2021,38,8
France,4092-ZAVRG,607578995,28/09/2020,28/10/2020,6014,0,0,04/10/2020,6,0
China,2820-XGXSB,608187073,25/05/2021,24/06/2021,5609,0,0,28/05/2021,3,0
China,0709-LZRJV,608905626,27/09/2020,27/10/2020,6107,0,0,23/10/2020,26,0
France,4640-FGEJI,613092852,07/03/2021,06/04/2021,9034,0,0,08/04/2021,32,2
Russia,3568-JJMFW,617172736,03/04/2021,03/05/2021,7779,1,0,03/05/2021,30,0
Russia,6627-ELFBK,620329407,15/02/2021,17/03/2021,7650,1,0,01/04/2021,45,15
France,7938-EVASK,624274413,14/08/2021,13/09/2021,4409,0,0,24/09/2021,41,11
United States,2447-JCFGW,627613977,06/04/2020,06/05/2020,3567,0,0,03/05/2020,27,0
Spain,7654-DOLHO,631345640,19/09/2021,19/10/2021,2362,0,0,13/10/2021,24,0
United States,9149-MATVB,633253847,01/04/2021,01/05/2021,5095,0,0,25/04/2021,24,0
United States,9149-MATVB,640587193,24/12/2020,23/01/2021,6418,0,0,18/01/2021,25,0
France,4651-PMEXQ,641122100,03/11/2020,03/12/2020,4901,0,0,28/11/2020,25,0
China,1080-NDGAE,641300165,12/09/2021,12/10/2021,9457,1,0,14/10/2021,32,2
Russia,8887-NCUZC,641436694,11/02/2021,13/03/2021,2637,0,0,04/03/2021,21,0
China,7841-HROAQ,642684114,20/06/2020,20/07/2020,6336,0,0,08/07/2020,18,0
China,2125-HJDLA,645045061,26/10/2020,25/11/2020,4318,0,0,24/11/2020,29,0
China,6160-HCSFI,647569317,20/10/2021,19/11/2021,9257,0,0,01/11/2021,12,0
Russia,8887-NCUZC,649688883,03/11/2021,03/12/2021,5214,0,0,28/11/2021,25,0
China,5920-DPXLN,649771974,26/04/2021,26/05/2021,6835,0,0,07/05/2021,11,0
Russia,8364-UWVLM,658936368,17/05/2021,16/06/2021,6982,0,0,03/06/2021,17,0
France,4632-QZOKX,8664445095,21/02/2020,22/03/2020,7619,1,0,03/04/2020,42,12
Russia,8102-ABPKQ,666874152,18/08/2020,17/09/2020,5738,1,0,29/09/2020,42,12
China,2125-HJDLA,672948510,09/11/2020,09/12/2020,5737,0,0,05/12/2020,26,0
Russia,5924-UOPGH,674518601,28/07/2020,27/08/2020,9442,0,0,18/08/2020,21,0
Russia,1604-LIFKX,676551273,13/10/2020,12/11/2020,8274,0,0,01/12/2020,49,19
United States,7260-ZHAKS,678458928,21/08/2020,20/09/2020,6774,0,0,07/09/2020,17,0
United States,2026-XLBER,679404840,07/10/2021,06/11/2021,4973,0,0,17/10/2021,10,0
Russia,9181-HEKGV,681101344,27/08/2020,26/09/2020,8506,0,0,22/09/2020,26,0
France,5284-DJOZO,1839518389,24/02/2020,25/03/2020,4476,1,0,26/03/2020,31,1
United States,9928-IJYBQ,684720070,03/04/2020,03/05/2020,6625,1,0,15/05/2020,42,12
France,6048-QPZCF,6114978639,24/02/2020,25/03/2020,7276,1,0,19/03/2020,24,0
Russia,9181-HEKGV,689403769,29/09/2021,29/10/2021,7609,1,0,11/11/2021,43,13
France,4632-QZOKX,3840426166,27/02/2020,28/03/2020,7089,1,0,13/04/2020,46,16
China,8820-BLYDZ,703104577,31/03/2021,30/04/2021,7349,0,0,02/04/2021,2,0
France,5284-DJOZO,704405155,28/04/2020,28/05/2020,6734,0,0,15/05/2020,17,0
France,1447-YZKCL,705084741,02/05/2021,01/06/2021,5639,0,0,28/05/2021,26,0
France,6048-QPZCF,6198121107,04/03/2020,03/04/2020,6249,1,0,04/04/2020,31,1
Spain,3271-YDPUJ,725765758,08/04/2020,08/05/2020,7671,1,0,25/05/2020,47,17
United States,6831-FIODB,726197794,11/04/2021,11/05/2021,4194,1,0,22/05/2021,41,11
Russia,8102-ABPKQ,728378151,25/06/2021,25/07/2021,8068,1,0,08/08/2021,44,14
Russia,6004-KITZM,733170200,09/12/2020,08/01/2021,7171,0,0,29/12/2020,20,0
Spain,1408-OQZUE,739678368,04/07/2021,03/08/2021,4236,0,0,06/08/2021,33,3
Spain,8690-EEBEO,744801013,01/03/2021,31/03/2021,6104,0,0,07/04/2021,37,7
China,9212-BTDMX,744808791,13/12/2020,12/01/2021,5391,0,0,28/12/2020,15,0
United States,0625-TNJFG,748230672,11/05/2021,10/06/2021,5301,0,0,05/06/2021,25,0
United States,6831-FIODB,750411142,27/11/2020,27/12/2020,5971,0,0,29/12/2020,32,2
France,5284-DJOZO,750477087,24/10/2020,23/11/2020,9488,0,0,26/10/2020,2,0
United States,5592-UQXSS,755429128,06/10/2021,05/11/2021,4312,1,0,10/11/2021,35,5
Spain,0688-XNJRO,760825845,10/08/2021,09/09/2021,4058,0,0,18/09/2021,39,9
United States,0625-TNJFG,761602627,07/09/2021,07/10/2021,6416,1,0,18/10/2021,41,11
China,9174-IYKOC,762698565,12/05/2020,11/06/2020,7470,0,0,04/06/2020,23,0
Russia,5613-UHVMG,764361492,17/11/2020,17/12/2020,6380,1,1,05/01/2021,49,19
France,9117-LYRCE,3961518373,05/03/2020,04/04/2020,6866,1,0,22/04/2020,48,18
Russia,8364-UWVLM,773493683,15/09/2021,15/10/2021,6536,1,0,21/10/2021,36,6
France,5164-VMYWJ,775479959,01/09/2021,01/10/2021,6590,0,0,03/10/2021,32,2
France,6048-QPZCF,7496830993,10/03/2020,09/04/2020,7533,1,0,08/04/2020,29,0
United States,6077-FDQRK,784468555,25/09/2021,25/10/2021,1890,1,0,25/10/2021,30,0
France,9758-AIEIK,3969347325,11/03/2020,10/04/2020,6119,1,0,21/04/2020,41,11
France,9758-AIEIK,816501620,20/08/2020,19/09/2020,3382,0,0,07/09/2020,18,0
China,9212-BTDMX,818753502,15/01/2021,14/02/2021,4818,0,0,04/02/2021,20,0
France,3448-OWJOT,1070459520,14/03/2020,13/04/2020,8610,1,0,28/04/2020,45,15
China,7209-MDWKR,826558350,24/06/2021,24/07/2021,4968,0,0,30/07/2021,36,6
China,5196-TWQXF,828222998,13/04/2020,13/05/2020,7760,0,0,18/05/2020,35,5
Spain,8942-ERSWK,839049806,18/09/2021,18/10/2021,1982,0,0,22/09/2021,4,0
China,6708-DPYTF,839756390,25/11/2021,25/12/2021,7618,0,0,31/12/2021,36,6
France,9725-EZTEJ,9002067860,20/03/2020,19/04/2020,8209,1,0,26/04/2020,37,7
China,1080-NDGAE,857712918,22/02/2021,24/03/2021,9339,1,1,04/04/2021,41,11
France,0783-PEPYR,858258272,30/09/2021,30/10/2021,4367,0,0,10/11/2021,41,11
China,5196-TWQXF,863594173,25/02/2020,26/03/2020,6560,0,0,01/04/2020,36,6
China,0379-NEVHP,869802822,01/09/2020,01/10/2020,6955,0,0,23/09/2020,22,0
France,6048-QPZCF,870792057,19/03/2020,18/04/2020,7392,0,0,24/03/2020,5,0
Russia,5875-VZQCZ,872319562,18/09/2021,18/10/2021,4617,0,0,02/10/2021,14,0
China,5920-DPXLN,873433318,05/05/2020,04/06/2020,8220,0,0,24/05/2020,19,0
Spain,9883-SDWFS,874115043,08/05/2020,07/06/2020,4125,1,0,20/06/2020,43,13
United States,9149-MATVB,874394980,14/03/2021,13/04/2021,2392,0,0,16/04/2021,33,3
Russia,6627-ELFBK,876573329,27/03/2021,26/04/2021,7139,1,0,04/05/2021,38,8
China,5529-TBPGK,881665013,25/12/2020,24/01/2021,3797,1,0,11/02/2021,48,18
France,5284-DJOZO,4908628098,24/03/2020,23/04/2020,8967,1,0,19/04/2020,26,0
France,7245-CKNCN,883694015,14/09/2021,14/10/2021,9277,0,0,26/09/2021,12,0
United States,3831-FXWYK,884183285,27/09/2021,27/10/2021,5305,0,0,23/10/2021,26,0
Russia,8364-UWVLM,886237244,30/06/2020,30/07/2020,7484,1,0,05/08/2020,36,6
France,9725-EZTEJ,2368072192,29/03/2020,28/04/2020,9271,1,0,22/04/2020,24,0
Spain,6391-GBFQJ,893037091,09/02/2020,10/03/2020,643,0,0,25/02/2020,16,0
France,3448-OWJOT,8164224319,01/04/2020,01/05/2020,7278,1,0,11/05/2020,40,10
United States,6831-FIODB,893954880,22/05/2021,21/06/2021,5192,0,0,16/06/2021,25,0
United States,0465-DTULQ,902573987,01/03/2021,31/03/2021,6835,0,0,31/03/2021,30,0
France,6833-ETVHD,903308758,23/04/2020,23/05/2020,7387,0,0,16/05/2020,23,0
United States,2447-JCFGW,905360282,24/01/2021,23/02/2021,7328,0,0,13/02/2021,20,0
China,5529-TBPGK,907309591,29/05/2020,28/06/2020,6478,0,0,29/06/2020,31,1
Russia,5924-UOPGH,910054452,13/04/2020,13/05/2020,8443,0,0,01/05/2020,18,0
China,3569-VJWXS,910348225,18/08/2020,17/09/2020,10296,0,0,15/09/2020,28,0
Russia,9181-HEKGV,910856055,21/08/2021,20/09/2021,7255,1,0,09/10/2021,49,19
France,8976-AMJEO,915133709,11/11/2020,11/12/2020,5980,0,0,07/12/2020,26,0
China,1080-NDGAE,915652542,05/01/2020,04/02/2020,7829,1,0,13/02/2020,39,9
United States,6077-FDQRK,921537795,30/12/2020,29/01/2021,4984,0,0,16/01/2021,17,0
China,7841-HROAQ,929902016,18/05/2021,17/06/2021,6430,0,0,14/06/2021,27,0
France,7938-EVASK,934328892,05/07/2020,04/08/2020,5967,0,0,08/08/2020,34,4
Spain,0688-XNJRO,936925570,10/12/2020,09/01/2021,3098,0,0,17/01/2021,38,8
Russia,7946-HJDUR,938015647,22/04/2021,22/05/2021,4903,0,0,15/05/2021,23,0
France,7245-CKNCN,939622166,10/09/2020,10/10/2020,8536,0,0,29/09/2020,19,0
France,4640-FGEJI,940363147,02/11/2020,02/12/2020,9934,0,0,05/12/2020,33,3
China,0379-NEVHP,951035745,05/06/2021,05/07/2021,5704,0,0,19/06/2021,14,0
France,9725-EZTEJ,3480348952,11/04/2020,11/05/2020,4003,1,1,08/05/2020,27,0
United States,4460-ZXNDN,959092964,15/01/2021,14/02/2021,7205,1,0,10/03/2021,54,24
France,7938-EVASK,975332365,17/07/2021,16/08/2021,7210,0,0,14/08/2021,28,0
United States,0706-NRGUP,979439975,24/11/2020,24/12/2020,3962,0,0,10/01/2021,47,17
Spain,0688-XNJRO,981596189,07/06/2020,07/07/2020,4579,0,0,28/07/2020,51,21
Russia,9181-HEKGV,986187012,27/01/2020,26/02/2020,8692,1,0,08/03/2020,41,11
China,5920-DPXLN,990527729,04/11/2020,04/12/2020,5873,0,0,09/12/2020,35,5
United States,3831-FXWYK,1006151066,24/11/2020,24/12/2020,8366,0,0,03/01/2021,40,10
Spain,9883-SDWFS,1006769217,14/09/2020,14/10/2020,3386,0,0,19/10/2020,35,5
Spain,1408-OQZUE,1012251297,21/02/2020,22/03/2020,2605,1,0,21/04/2020,60,30
China,6160-HCSFI,1014106295,14/06/2020,14/07/2020,6557,0,0,02/07/2020,18,0
France,7245-CKNCN,1020758229,06/06/2021,06/07/2021,6719,0,0,20/06/2021,14,0
Russia,3568-JJMFW,1026638537,27/07/2021,26/08/2021,7086,1,0,23/08/2021,27,0
China,5196-TWQXF,1027852268,16/09/2021,16/10/2021,3722,0,0,06/10/2021,20,0
France,9117-LYRCE,1035721042,11/11/2020,11/12/2020,1113,0,0,17/12/2020,36,6
China,5529-TBPGK,1043332774,07/07/2020,06/08/2020,7909,0,0,06/08/2020,30,0
Spain,1168-BEASA,1047899565,14/04/2021,14/05/2021,5700,0,0,04/05/2021,20,0
United States,7228-LEPPM,1048700348,12/04/2021,12/05/2021,5267,0,0,19/05/2021,37,7
Russia,5148-SYKLB,1054254710,21/11/2021,21/12/2021,7554,1,0,23/12/2021,32,2
France,0783-PEPYR,1056254354,06/11/2021,06/12/2021,7178,1,0,06/12/2021,30,0
Spain,7372-CESLR,1057997164,17/02/2020,18/03/2020,2080,0,0,08/03/2020,20,0
Spain,9250-VHLWY,1061077534,03/10/2021,02/11/2021,5385,0,0,22/10/2021,19,0
China,7841-HROAQ,1064822506,10/02/2021,12/03/2021,9189,0,0,07/03/2021,25,0
United States,9149-MATVB,1066047916,15/08/2020,14/09/2020,4802,0,0,19/09/2020,35,5
United States,9323-NDIOV,1069788528,19/10/2020,18/11/2020,2023,0,0,18/11/2020,30,0
France,9725-EZTEJ,5759152857,22/04/2020,22/05/2020,7232,1,0,05/06/2020,44,14
United States,7260-ZHAKS,1072551347,30/08/2020,29/09/2020,6064,0,0,21/09/2020,22,0
Spain,9883-SDWFS,1078203507,03/02/2021,05/03/2021,4196,1,0,17/03/2021,42,12
China,9212-BTDMX,1087780845,08/04/2021,08/05/2021,6481,0,0,25/04/2021,17,0
China,6632-CGYHU,1089324685,29/03/2021,28/04/2021,8533,0,0,07/04/2021,9,0
